translation_id,target,target_type,event_count,weighted_event_count,corpus_words,events_per_10k_words
butcher_lang_1879,PALACE,concept_or_setting,65,56.66675,136111,4.775514102460492
butcher_lang_1879,PENELOPE,character,75,56.51235,136111,5.510208579762106
butcher_lang_1879,PHAEACIANS,group,12,10.7628,136111,0.881633372761937
butcher_lang_1879,POLYPHEMUS,character,4,3.8208,136111,0.29387779092064564
butcher_lang_1879,POSEIDON,character,16,7.7848999999999995,136111,1.1755111636825826
butcher_lang_1879,SEA,concept_or_setting,228,177.51165,136111,16.751034082476803
butcher_lang_1879,SHIELD,concept_or_setting,5,4.0238,136111,0.3673472386508071
butcher_lang_1879,SHIP,concept_or_setting,82,62.9975,136111,6.024494713873236
butcher_lang_1879,SKY,concept_or_setting,27,23.06425,136111,1.9836750887143582
butcher_lang_1879,SORROW,concept_or_setting,25,19.978550000000002,136111,1.8367361932540354
butcher_lang_1879,SPEAR,concept_or_setting,28,23.0613,136111,2.0571445364445196
butcher_lang_1879,SPEECH,concept_or_setting,41,25.8365,136111,3.012247356936618
butcher_lang_1879,STORM,concept_or_setting,18,14.8614,136111,1.3224500591429054
butcher_lang_1879,SUITORS,group,52,36.94645,136111,3.8204112819683935
butcher_lang_1879,SUN,concept_or_setting,12,6.7659,136111,0.881633372761937
butcher_lang_1879,SWORD,concept_or_setting,13,9.77285,136111,0.9551028204920984
butcher_lang_1879,TEIRESIAS,character,3,2.1651,136111,0.22040834319048425
butcher_lang_1879,TELEMACHUS,character,112,82.9019,136111,8.228578145778078
butcher_lang_1879,TROJANS,group,2,1.6227999999999998,136111,0.14693889546032282
butcher_lang_1879,TROY,place,11,8.7879,136111,0.8081639250317755
butcher_lang_1879,WAR,concept_or_setting,14,11.558,136111,1.0285722682222598
butcher_lang_1879,WINE,concept_or_setting,35,29.9525,136111,2.571430670555649
butcher_lang_1879,ZEUS,character,125,72.20989999999999,136111,9.183680966270176
butler_1900,ACHAEANS,group,10,8.239799999999999,126812,0.788568905150932
butler_1900,ACHILLES,character,3,2.3559,126812,0.2365706715452796
butler_1900,AEGISTHUS,character,7,5.1861,126812,0.5519982336056525
butler_1900,AGAMEMNON,character,8,4.6276,126812,0.6308551241207457
butler_1900,AJAX,character,4,1.8228,126812,0.31542756206037287
butler_1900,ALCINOUS,character,13,5.2219,126812,1.0251395766962117
butler_1900,AMPHINOMUS,character,5,3.5486,126812,0.394284452575466
butler_1900,ANGER,concept_or_setting,4,3.3859,126812,0.31542756206037287
butler_1900,ANTINOUS,character,16,8.3928,126812,1.2617102482414915
butler_1900,ARETE,character,5,0.4567,126812,0.394284452575466
butler_1900,ATHENA,character,38,23.92765,126812,2.996561839573542
butler_1900,BLOOD,concept_or_setting,4,3.675,126812,0.31542756206037287
butler_1900,BOW,concept_or_setting,9,3.7548,126812,0.7097120146358389
butler_1900,CALYPSO,character,20,12.4518,126812,1.577137810301864
butler_1900,CIRCE,character,22,12.101,126812,1.7348515913320506
butler_1900,CLYTEMNESTRA,character,1,0.5684,126812,0.07885689051509322
butler_1900,CYCLOPES,group,9,7.6185,126812,0.7097120146358389
butler_1900,DAWN,concept_or_setting,27,22.715,126812,2.1291360439075167
butler_1900,DEATH,concept_or_setting,11,9.6686,126812,0.8674257956660253
butler_1900,DEMODOCUS,character,7,3.9788,126812,0.5519982336056525
butler_1900,EARTH,concept_or_setting,12,7.9635,126812,0.9462826861811184
butler_1900,EUMAEUS,character,18,10.4076,126812,1.4194240292716778
butler_1900,EURYCLEIA,character,8,6.0054,126812,0.6308551241207457
butler_1900,EURYMACHUS,character,9,5.9947,126812,0.7097120146358389
butler_1900,FATE,concept_or_setting,3,2.7577,126812,0.2365706715452796
butler_1900,FIRE,concept_or_setting,6,5.3116,126812,0.4731413430905592
butler_1900,GENERIC_CAVE,generic,5,3.5808999999999997,126812,0.394284452575466
butler_1900,GENERIC_CITY,generic,8,6.6003,126812,0.6308551241207457
butler_1900,GENERIC_DAUGHTER,generic,7,4.2924,126812,0.5519982336056525
butler_1900,GENERIC_FATHER,generic,22,15.5716,126812,1.7348515913320506
butler_1900,GENERIC_FRIEND,generic,9,7.4166,126812,0.7097120146358389
butler_1900,GENERIC_GOD,generic,8,6.263199999999999,126812,0.6308551241207457
butler_1900,GENERIC_GODDESS,generic,7,5.287999999999999,126812,0.5519982336056525
butler_1900,GENERIC_GUEST,generic,1,0.6272,126812,0.07885689051509322
butler_1900,GENERIC_HERO,generic,5,4.1591,126812,0.394284452575466
butler_1900,GENERIC_HUSBAND,generic,9,7.0462,126812,0.7097120146358389
butler_1900,GENERIC_ISLAND,generic,9,4.7677,126812,0.7097120146358389
butler_1900,GENERIC_KING,generic,1,0.8428,126812,0.07885689051509322
butler_1900,GENERIC_MAN,generic,52,33.45415,126812,4.100558306784847
butler_1900,GENERIC_MONSTER,generic,2,1.6856,126812,0.15771378103018643
butler_1900,GENERIC_MOTHER,generic,3,2.3559,126812,0.2365706715452796
butler_1900,GENERIC_MOUNTAIN,generic,9,5.87505,126812,0.7097120146358389
butler_1900,GENERIC_QUEEN,generic,2,1.47,126812,0.15771378103018643
butler_1900,GENERIC_RIVER,generic,1,0.785,126812,0.07885689051509322
butler_1900,GENERIC_SERVANT,generic,3,2.3265,126812,0.2365706715452796
butler_1900,GENERIC_SHORE,generic,1,0.8722,126812,0.07885689051509322
butler_1900,GENERIC_SON,generic,17,11.2563,126812,1.3405671387565845
butler_1900,GENERIC_STRANGER,generic,4,2.8851,126812,0.31542756206037287
butler_1900,GENERIC_WARRIOR,generic,1,0.8428,126812,0.07885689051509322
butler_1900,GENERIC_WIFE,generic,16,11.7198,126812,1.2617102482414915
butler_1900,GENERIC_WOMAN,generic,30,21.6687,126812,2.3657067154527964
butler_1900,GODS,group,13,10.267,126812,1.0251395766962117
butler_1900,HELEN,character,14,9.1375,126812,1.103996467211305
butler_1900,HERA,character,9,6.3494,126812,0.7097120146358389
butler_1900,HERMES,character,11,7.3265,126812,0.8674257956660253
butler_1900,HOME,concept_or_setting,28,19.19135,126812,2.20799293442261
butler_1900,ITHACA,place,7,2.07125,126812,0.5519982336056525
butler_1900,JOURNEY,concept_or_setting,18,12.125,126812,1.4194240292716778
butler_1900,LAERTES,character,25,16.5551,126812,1.9714222628773301
butler_1900,MELANTHIUS,character,6,2.9851,126812,0.4731413430905592
