translation_id,translator,year,form,book,word_count,segmentation_method,segmentation_confidence
cowper_1791,William Cowper,1791,verse,13,3931,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,14,4967,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,15,4956,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,16,4188,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,17,5397,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,18,3971,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,19,5611,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,20,3513,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,21,3940,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,22,4291,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,23,3311,edition_specific_poem_only_html_selectors,0.995
cowper_1791,William Cowper,1791,verse,24,4731,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,1,4915,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,2,4914,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,3,5591,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,4,9426,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,5,5504,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,6,3681,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,7,3750,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,8,6404,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,9,6375,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,10,6485,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,11,6977,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,12,5004,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,13,4882,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,14,6105,edition_specific_poem_only_html_selectors,0.995
butcher_lang_1879,S. H. Butcher and Andrew Lang,1879,prose,15,6120,edition_specific_poem_only_html_selectors,0.995
