translation_a,translation_b,weighted_jaccard,incidence_cosine,unweighted_jaccard,mean_target_edge_jaccard
butcher_lang_1879,butler_1900,0.17156728765579457,0.45296283243539753,0.2082758620689655,0.15682026486488668
butcher_lang_1879,chapman_1616,0.1796152177543365,0.46720474729020167,0.20759193357058126,0.15545542898252093
butcher_lang_1879,cowper_1791,0.15495832754024355,0.5000885157942526,0.17947141979102643,0.1201920358199234
butcher_lang_1879,murray_1919,0.40782352802787036,0.798581590505167,0.3824982357092449,0.323371805828623
butcher_lang_1879,pope_1726,0.1309128627037888,0.4657471697867966,0.14859228362878,0.10112691300549931
butler_1900,chapman_1616,0.1709401952752793,0.43920572137368646,0.17789072426937738,0.12284674347457293
butler_1900,cowper_1791,0.13720400652527798,0.36949353896205406,0.16032064128256512,0.10881204906610453
butler_1900,murray_1919,0.1859589991938915,0.468534252624089,0.20392953929539295,0.14507326630278036
butler_1900,pope_1726,0.11565411108319724,0.3850955526885997,0.132847533632287,0.10210592136246956
chapman_1616,cowper_1791,0.16135638320228796,0.41709263591599083,0.18742655699177438,0.12859334884131532
chapman_1616,murray_1919,0.18819461404925522,0.48201768438703835,0.20738137082601055,0.148222371664913
chapman_1616,pope_1726,0.1883416613172799,0.48315748451669666,0.20177267987486966,0.13346204786469099
cowper_1791,murray_1919,0.15055591225310866,0.3987898284962433,0.18320146074254412,0.1311794332712394
cowper_1791,pope_1726,0.17341368383050332,0.7011322347429694,0.1782444803446419,0.1262248300864375
murray_1919,pope_1726,0.12942173659058914,0.38525203119536605,0.1443246019517206,0.09691225717763834
