translation_id,attribute,category,valence,event_count,weighted_event_count,corpus_words,events_per_10k_words
butcher_lang_1879,honest,moral_evaluation,positive,1,-0.28855,134673,0.07425393360213257
butcher_lang_1879,hospitable,behavior_disposition,positive,8,6.7451,134673,0.5940314688170606
butcher_lang_1879,huge,scale_intensity,unassigned,7,4.607799999999999,134673,0.519777535214928
butcher_lang_1879,impious,moral_evaluation,negative,1,0.8856,134673,0.07425393360213257
butcher_lang_1879,insolent,behavior_disposition,negative,1,0.8856,134673,0.07425393360213257
butcher_lang_1879,joyful,affect_state,positive,1,0.8597,134673,0.07425393360213257
butcher_lang_1879,just,moral_evaluation,positive,9,1.24825,134673,0.6682854024191932
butcher_lang_1879,keen,cognitive_evaluation,positive,5,3.192,134673,0.37126966801066286
butcher_lang_1879,kind,moral_evaluation,positive,7,3.0387,134673,0.519777535214928
butcher_lang_1879,kingly,social_status,unassigned,2,0.48755000000000004,134673,0.14850786720426515
butcher_lang_1879,lawless,moral_evaluation,negative,4,2.0228,134673,0.2970157344085303
butcher_lang_1879,little,scale_intensity,unassigned,19,13.15475,134673,1.4108247384405188
butcher_lang_1879,long,scale_intensity,unassigned,123,68.0526,134673,9.133233833062306
butcher_lang_1879,lordly,social_status,unassigned,33,22.70355,134673,2.450379808870375
butcher_lang_1879,lovely,appearance_age,positive,9,5.9899,134673,0.6682854024191932
butcher_lang_1879,low,scale_intensity,unassigned,9,7.5302,134673,0.6682854024191932
butcher_lang_1879,loyal,moral_evaluation,positive,1,0.6368,134673,0.07425393360213257
butcher_lang_1879,mighty,scale_intensity,positive,82,61.45845,134673,6.08882255537487
butcher_lang_1879,murky,luminosity,negative,1,0.9552,134673,0.07425393360213257
butcher_lang_1879,narrow,scale_intensity,unassigned,1,0.5771,134673,0.07425393360213257
butcher_lang_1879,noble,moral_evaluation,positive,71,51.52455,134673,5.2720292857514135
butcher_lang_1879,old,appearance_age,unassigned,132,95.6032,134673,9.8015192354815
butcher_lang_1879,patient,affect_state,positive,4,3.4109,134673,0.2970157344085303
butcher_lang_1879,peaceful,behavior_disposition,positive,1,-0.4179,134673,0.07425393360213257
butcher_lang_1879,princely,social_status,unassigned,4,3.7014,134673,0.2970157344085303
butcher_lang_1879,prudent,cognitive_evaluation,positive,5,4.5114,134673,0.37126966801066286
butcher_lang_1879,purple,color_hue,context_dependent,12,5.9201999999999995,134673,0.891047203225591
butcher_lang_1879,raging,affect_state,negative,1,0.9552,134673,0.07425393360213257
butcher_lang_1879,reckless,behavior_disposition,negative,2,1.5323,134673,0.14850786720426515
