translation_id,category,event_count,weighted_event_count,corpus_words,events_per_10k_words,weighted_events_per_10k_words
butcher_lang_1879,affect_state,109,82.3012,136111,8.008169802587593,6.04662371152956
butcher_lang_1879,agency_capacity,73,48.28695,136111,5.363269684301783,3.5476155490739174
butcher_lang_1879,appearance_age,407,301.2572,136111,29.902065226175694,22.133200108734783
butcher_lang_1879,behavior_disposition,86,69.70400000000001,136111,6.318372504793881,5.121114384583172
butcher_lang_1879,cognitive_evaluation,245,173.43455,136111,18.000014693889547,12.742140605829066
butcher_lang_1879,color_complex,97,82.46325,136111,7.126536429825657,6.058529435534234
butcher_lang_1879,color_hue,213,165.7892,136111,15.64899236652438,12.180440963625275
butcher_lang_1879,color_material,135,98.31205,136111,9.91837544357179,7.222932018720015
butcher_lang_1879,luminosity,59,39.83285,136111,4.334697416079523,2.9264974910183605
butcher_lang_1879,moral_evaluation,476,334.6119,136111,34.97145711955683,24.58375149694
butcher_lang_1879,scale_intensity,661,476.0646,136111,48.563304949636695,34.9762032458802
butcher_lang_1879,social_status,51,34.11715,136111,3.746941834238232,2.5065681686270764
butler_1900,affect_state,134,93.3723,126812,10.566823329022489,7.363049238242437
butler_1900,agency_capacity,87,56.0568,126812,6.8605494748131095,4.420464940226477
butler_1900,appearance_age,280,197.2382,126812,22.079929344226098,15.553591142794057
butler_1900,behavior_disposition,26,19.6097,126812,2.0502791533924234,1.5463599659338234
butler_1900,cognitive_evaluation,44,23.03875,126812,3.469703182664101,1.8167641863546036
butler_1900,color_complex,24,20.1357,126812,1.8925653723622369,1.5878386903447623
butler_1900,color_hue,71,55.6472,126812,5.598839226571617,4.388165157871494
butler_1900,color_material,79,53.3159,126812,6.2296943506923625,4.204326089013658
butler_1900,luminosity,12,8.9983,126812,0.9462826861811184,0.7095779579219632
butler_1900,moral_evaluation,319,219.18165,126812,25.155348074314734,17.283983376967477
butler_1900,scale_intensity,329,235.6343,126812,25.943916979465666,18.58138819670063
butler_1900,social_status,19,12.1069,126812,1.498280919786771,0.9547124877771819
chapman_1616,affect_state,130,97.31005,138361,9.395711219201942,7.033054834816169
chapman_1616,agency_capacity,70,48.545899999999996,138361,5.059229118031816,3.508640440586581
chapman_1616,appearance_age,312,219.9097,138361,22.54970692608466,15.893907965394872
chapman_1616,behavior_disposition,72,48.47835,138361,5.203778521404153,3.503758284487681
