event_id,translation_id,year,target,attribute,category,extraction_confidence
2111d44e768c146a6bb6,butcher_lang_1879,1879,WINE,yellow,color_hue,0.9552
69d74ab3861d90d53015,butcher_lang_1879,1879,SHIP,black,color_hue,0.9552
ea88f9431c53e5e49a26,butcher_lang_1879,1879,ODYSSEUS,noble,moral_evaluation,0.9552
7b4931a56e59b7e6f50a,butcher_lang_1879,1879,ODYSSEUS,shining,luminosity,0.5771
cafdf1925b716c9901f9,butcher_lang_1879,1879,ODYSSEUS,long,scale_intensity,0.5771
ffc29caf23c5a678fe4b,butcher_lang_1879,1879,BOW,bronze,color_material,0.8597
8e345026d417575060f0,butcher_lang_1879,1879,SWORD,great,scale_intensity,0.8597
9e55ea87f05ef4ee66c2,butcher_lang_1879,1879,SWORD,silver,color_material,0.9552
3f5308b5caeefd2efb8d,butcher_lang_1879,1879,SHIP,black,color_hue,0.9552
cef5c739f0b813b1f3c1,butcher_lang_1879,1879,ZEUS,wise,cognitive_evaluation,0.5771
7b67b3dd36a41fb5088e,butcher_lang_1879,1879,GENERIC_MAN,young,appearance_age,0.7701
c6a932fba3fe12382f59,butcher_lang_1879,1879,HERMES,golden,color_material,0.7522
90f7a5f4ec59d72b22d7,butcher_lang_1879,1879,PALACE,great,scale_intensity,0.9552
94ad2e9a54fa67f59129,butcher_lang_1879,1879,CIRCE,deep,scale_intensity,0.8865
9364e9c78128ed4a35ef,butcher_lang_1879,1879,CIRCE,free,social_status,0.5771
f81d60af9f11dabc17bc,butcher_lang_1879,1879,CIRCE,able,agency_capacity,0.5771
0797c73b8fa128767492,butcher_lang_1879,1879,CIRCE,long,scale_intensity,0.5771
52263ecd8301f317826b,butcher_lang_1879,1879,CIRCE,mighty,scale_intensity,0.5771
8b138074216dbbc683a7,butcher_lang_1879,1879,HERMES,high,scale_intensity,0.7363
519b6660f176ade30a13,butcher_lang_1879,1879,GENERIC_GODDESS,fair,appearance_age,0.8557
0b97edd61b7b4ac217f2,butcher_lang_1879,1879,CIRCE,golden,color_material,0.5771
907ed72ac2ce4befeba7,butcher_lang_1879,1879,MIND,evil,moral_evaluation,0.9552
c1a6aed425e7965ab249,butcher_lang_1879,1879,CIRCE,great,scale_intensity,0.5771
